City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,288.84,65,91,7.06,AU,1730773364
1,waitangi,-43.9535,-176.5597,284.06,68,61,7.44,NZ,1730773365
2,olonkinbyen,70.9221,-8.7187,271.99,86,100,10.32,SJ,1730773367
3,brandon,27.9378,-82.2859,296.99,93,0,3.09,US,1730773368
4,tura,25.5198,90.2201,297.07,76,51,0.86,IN,1730773369
5,adamstown,-25.066,-130.1015,294.28,82,100,7.87,PN,1730773370
6,ebaye,8.7748,167.7392,303.16,74,0,2.06,MH,1730773371
7,iskateley,67.6803,53.1512,270.2,87,99,3.55,RU,1730773372
8,talnakh,69.4865,88.3972,267.51,96,100,3.85,RU,1730773374
9,qaqortoq,60.7167,-46.0333,261.85,81,8,3.54,GL,1730773375
10,yellowknife,62.456,-114.3525,270.05,100,75,3.09,CA,1730773376
11,wailua homesteads,22.0669,-159.378,300.59,83,75,4.63,US,1730773377
12,bethel,41.3712,-73.414,283.65,87,0,1.34,US,1730773378
13,port-aux-francais,-49.35,70.2167,279.12,92,100,17.11,TF,1730773379
14,estevan,49.1334,-102.9842,273.27,74,0,3.6,CA,1730773380
15,vila franca do campo,37.7167,-25.4333,293.38,99,100,5.59,PT,1730773383
16,hithadhoo,-0.6,73.0833,301.15,69,20,3.83,MV,1730773384
17,minas de marcona,-15.2119,-75.1103,286.87,88,77,5.75,PE,1730773109
18,touros,-5.1989,-35.4608,298.39,80,34,6.4,BR,1730773386
19,blackmans bay,-43.0167,147.3167,293.44,49,0,1.34,AU,1730773387
20,ji'an,27.1172,114.9793,294.44,59,2,4.69,CN,1730773388
21,tanjung pandan,-2.75,107.65,303.05,66,72,2.08,ID,1730773390
22,vilyuchinsk,52.9306,158.4028,273.3,62,7,1.8,RU,1730773391
23,empangeni,-28.762,31.8933,290.93,82,100,4.78,ZA,1730773392
24,iqaluit,63.7506,-68.5145,267.0,73,75,2.06,CA,1730773393
25,ilulissat,69.2167,-51.1,269.16,74,100,6.69,GL,1730773394
26,saint-pierre,-21.3393,55.4781,296.97,60,40,2.06,RE,1730773395
27,nagqu,31.5,92.0,272.13,25,100,0.89,CN,1730773396
28,tolanaro,-25.0319,46.9987,296.19,94,20,7.2,MG,1730773398
29,san clemente,33.427,-117.612,291.83,49,0,0.45,US,1730773399
30,kodiak,57.79,-152.4072,278.88,75,100,11.32,US,1730773400
31,isafjordur,66.0755,-23.124,275.31,90,97,3.89,IS,1730773401
32,la pila,22.05,-100.8667,293.97,35,0,5.13,MX,1730773402
33,prince rupert,54.3161,-130.3201,281.98,71,0,8.23,CA,1730773403
